Sample_site	min_coverage_site	max_coverage_site	mean_coverage_site	median_coverage_site
A	2.068491506	267.7783123	18.21301664	4.792998688
B	2.137570356	195.2487094	9.577539655	4.420421308
C	2.300532051	857.1945223	23.53878571	5.29994906
CSWMC	2.332205021	442.1961124	14.80204508	5.322418335
D1	2.16483721	76.15293844	8.254907956	4.454258551
D2	2.237055784	205.9543406	11.49274637	5.849466536
E	2.263172044	236.4512802	12.83565808	6.111494897
F1	2.08286906	353.6703416	15.44216939	5.090477213
F2	2.122700679	347.39761	15.42767377	6.160640385
